,Issue Date,License Expiration Date,Reroof Type,Address,Latitude/Longitude
579,03/30/2018,10/31/2019,Built Up,"1311 N HARVARD BLVD Los Angeles CA, 90027","(34.09538, -118.30443)"
580,03/30/2018,05/31/2017,Built Up,"5161 N VAN NUYS BLVD Los Angeles CA, 91403","(34.16462, -118.4489)"
581,04/03/2018,12/31/2017,Built Up,"7222 N VAN NUYS BLVD Los Angeles CA, 91405","(34.20187, -118.44851)"
582,04/05/2018,08/31/2018,Class A or B,"15176 W RAYMER ST Los Angeles CA, 91405","(34.21406, -118.46388)"
583,04/06/2018,05/31/2017,Built Up,"14429 W CHASE ST Los Angeles CA, 91402","(34.22491, -118.4479)"
584,04/06/2018,03/31/2019,Comp Shingle,"16108 W COVELLO ST Los Angeles CA, 91406","(34.20742, -118.48417)"
585,04/07/2018,03/31/2018,Built Up,"1801 E 50TH ST Los Angeles CA, 90058","(33.99812, -118.24177)"
586,04/12/2018,05/31/2018,Class A or B,"1388 S WESTWOOD BLVD Los Angeles CA, 90024","(34.05555, -118.44169)"
587,04/12/2018,10/31/2018,Built Up,"5673 N WHITNALL HWY Los Angeles CA, 91601","(34.17388, -118.35976)"
588,04/16/2018,11/30/2016,Built Up,"12122 W VANOWEN ST Los Angeles CA, 91605","(34.19379, -118.39731)"
589,04/17/2018,08/31/2018,Built Up,"6060 W HOLLYWOOD BLVD Los Angeles CA, 90028","(34.10148, -118.32207)"
590,04/18/2018,02/28/2019,REROOF 533 SQUARES WITH CLAS 'A' OR 'B' MATERIAL WEIGHING LESS THAN 6,"22915 W VICTORY BLVD Los Angeles CA, 91307","(34.1866, -118.62549)"
591,04/24/2018,07/31/2017,Built Up,"1845 W SAN FERNANDO ROAD Los Angeles CA, 90065","(34.10025, -118.23521)"
592,04/26/2018,03/31/2018,Built Up,"20447 W NORDHOFF ST Los Angeles CA, 91311","(34.232, -118.57917)"
593,04/26/2018,03/31/2018,Built Up,"8938 N MASON AVE Los Angeles CA, 91311","(34.2333, -118.57961)"
594,04/26/2018,10/31/2017,Built Up,"1 S LMU DR Los Angeles CA, 90045","(33.96577, -118.42406)"
595,05/07/2018,06/30/2017,Built Up,"7415 W MELROSE AVE Los Angeles CA, 90046","(34.08373, -118.35162)"
596,05/07/2018,11/30/2017,Built Up,"3317 W EXPOSITION PL Los Angeles CA, 90018","(34.02152, -118.33233)"
597,05/07/2018,12/31/2017,Built Up,"9111 N CORBIN AVE Los Angeles CA, 91324","(34.23591, -118.56269)"
598,05/09/2018,06/30/2018,Comp Shingle,"11439 N ENCINO AVE Los Angeles CA, 91344","(34.27848, -118.51547)"
599,05/16/2018,04/30/2018,Comp Shingle,"3430 W SUNSET BLVD Los Angeles CA, 90026","(34.08821, -118.27637)"
600,05/23/2018,07/31/2017,Comp Shingle,"25401 S WESTERN AVE Los Angeles CA, 90717","(33.7936, -118.30778)"
601,05/23/2018,10/31/2019,Built Up,"7017 N CANOGA AVE Los Angeles CA, 91303","(34.1979, -118.5979)"
602,05/24/2018,02/28/2019,Class A or B,"2416 E HUNTER ST Los Angeles CA, 90021","(34.02751, -118.2291)"
603,05/31/2018,03/31/2018,Built Up,"11950 W FOOTHILL BLVD Los Angeles CA, 91342","(34.2757, -118.3967)"
604,06/01/2018,11/30/2017,Built Up,"2030 E SACRAMENTO ST Los Angeles CA, 90021","(34.03042, -118.23108)"
605,06/05/2018,02/28/2019,Class A or B,"17250 W SATICOY ST Los Angeles CA, 91406","(34.20822, -118.50895)"
606,06/07/2018,02/28/2019,Class A or B,"14440 W BURBANK BLVD Los Angeles CA, 91401","(34.17189, -118.44778)"
607,06/07/2018,10/31/2017,Built Up,"1039 N NORTH BROADWAY Los Angeles CA, 90012","(34.06776, -118.23523)"
608,06/08/2018,06/30/2017,Built Up,"7930 N MASON AVE Los Angeles CA, 91306","(34.21478, -118.57959)"
609,06/14/2018,01/31/2018,Built Up,"1371 S WESTWOOD BLVD Los Angeles CA, 90024","(34.0557, -118.44223)"
610,06/15/2018,05/31/2018,Built Up,"1157 N MCCADDEN PL Los Angeles CA, 90038","(34.09239, -118.33757)"
611,06/20/2018,09/30/2019,Reroof portion of (E) building. Disabled Access upgrades as shown on p,"10957 S CENTRAL AVE Los Angeles CA, 90059","(33.93558, -118.2544)"
612,06/21/2018,11/30/2018,Comp Shingle,"729 N LA CIENEGA BLVD Los Angeles CA, 90069","(34.08445, -118.3767)"
613,06/25/2018,09/30/2017,Built Up,"742 S ALAMEDA ST Los Angeles CA, 90021","(34.03262, -118.23553)"
614,06/26/2018,03/31/2018,Built Up,"19780 S PACIFIC GATEWAY DR Los Angeles CA, 90502","(33.85141, -118.29512)"
615,06/28/2018,03/31/2018,Built Up,"1779 S WESTWOOD BLVD Los Angeles CA, 90024","(34.05042, -118.4378)"
616,07/05/2018,10/31/2019,Built Up,"565 N LARCHMONT BLVD Los Angeles CA, 90004","(34.08087, -118.32383)"
617,07/05/2018,01/31/2018,Built Up,"18626 S WESTERN AVE Los Angeles CA, 90248","(33.86124, -118.30895)"
618,07/09/2018,06/30/2018,Built Up,"2005 W MERTON AVE Los Angeles CA, 90041","(34.13826, -118.21178)"
619,07/10/2018,10/31/2018,REROOF (E) OFFICE BUILDING,"3880 E SAN RAFAEL AVE Los Angeles CA, 90065","(34.10212, -118.21724)"
620,07/16/2018,02/28/2018,Built Up,"15516 W NORDHOFF ST Los Angeles CA, 91343","(34.23538, -118.47039)"
621,07/17/2018,08/31/2018,Built Up,"10834 W BURBANK BLVD Los Angeles CA, 91601","(34.17199, -118.36711)"
622,07/19/2018,02/28/2018,Built Up,"1041 N MANSFIELD AVE Los Angeles CA, 90038","(34.09016, -118.34057)"
623,07/19/2018,02/28/2019,Class A or B,"20515 W DEVONSHIRE ST Los Angeles CA, 91311","(34.25741, -118.58032)"
624,07/20/2018,07/31/2018,Comp Shingle,"932 W 85TH ST Los Angeles CA, 90044","(33.96112, -118.29025)"
625,07/23/2018,05/31/2018,Built Up,"7500 N VALJEAN AVE Los Angeles CA, 91406","(34.20683, -118.48575)"
626,07/24/2018,05/31/2017,Built Up,"8551 W VENICE BLVD Los Angeles CA, 90034","(34.03503, -118.37883)"
627,07/27/2018,05/31/2017,Built Up,"5619 N LINDLEY AVE Los Angeles CA, 91356","(34.17299, -118.52746)"
628,07/27/2018,09/30/2018,Class A or B,"7500 N CHAMINADE AVE Los Angeles CA, 91304","(34.20673, -118.63673)"
629,07/31/2018,01/31/2018,Comp Shingle,"7955 N LINDLEY AVE Los Angeles CA, 91335","(34.21534, -118.52753)"
630,08/03/2018,05/31/2017,Built Up,"14402 W VENTURA BLVD Los Angeles CA, 91423","(34.15031, -118.44611)"
631,08/09/2018,09/30/2018,Built Up,"5547 N CLEON AVE Los Angeles CA, 91601","(34.17164, -118.36873)"
632,08/15/2018,10/31/2019,Comp Shingle,"10921 W CHANDLER BLVD Los Angeles CA, 91601","(34.16876, -118.3688)"
633,08/15/2018,11/30/2018,Built Up,"3187 N GLENDALE BLVD Los Angeles CA, 90039","(34.11782, -118.26148)"
634,08/17/2018,10/31/2017,Comp Shingle,"2216 W FARGO ST Los Angeles CA, 90039","(34.09206, -118.25934)"
635,08/21/2018,05/31/2019,Class A or B,"9301 N MASON AVE Los Angeles CA, 91311","(34.23969, -118.57999)"
636,08/22/2018,04/30/2019,Built Up,"2301 W BELLEVUE AVE Los Angeles CA, 90026","(34.07417, -118.26931)"
637,08/27/2018,03/31/2019,"VOLUNTARY SEISMIC RETROFIT AND REROOF. UPGRADE PATH OF TRAVEL, RAMPS,","15648 W ROXFORD ST Los Angeles CA, 91342","(34.31052, -118.47222)"
638,08/29/2018,04/30/2018,Built Up,"1040 N LAS PALMAS AVE Los Angeles CA, 90038","(34.09003, -118.33615)"
639,08/29/2018,03/31/2019,Class A or B,"10556 W KESWICK ST Los Angeles CA, 91352","(34.21037, -118.36166)"
640,08/30/2018,09/30/2019,Class A or B,"1006 N WESTERN AVE Los Angeles CA, 90732",
641,09/04/2018,04/30/2018,Built Up,"1271 W JEFFERSON BLVD Los Angeles CA, 90007","(34.02564, -118.29385)"
642,09/11/2018,04/30/2019,Built Up,"2301 W BELLEVUE AVE Los Angeles CA, 90026","(34.07417, -118.26931)"
643,09/17/2018,12/31/2017,Built Up,"9667 N RESEDA BLVD Los Angeles CA, 91324","(34.24627, -118.5363)"
644,09/21/2018,07/31/2017,Built Up,"4161 S MAIN ST Los Angeles CA, 90037","(34.00781, -118.27418)"
645,09/27/2018,02/28/2019,Class A or B,"1330 S BOYLE AVE Los Angeles CA, 90023","(34.02545, -118.2208)"
646,09/27/2018,06/30/2017,Built Up,"5230 N VAN NUYS BLVD Los Angeles CA, 91401","(34.16582, -118.44847)"
647,10/02/2018,03/31/2020,Class A or B,"1707 W SUNSET BLVD Los Angeles CA, 90026","(34.07752, -118.2586)"
648,10/04/2018,07/31/2017,Built Up,"7325 N RESEDA BLVD Los Angeles CA, 91335","(34.20376, -118.53632)"
649,10/08/2018,08/31/2020,Built Up,"8829 W NATIONAL BLVD Los Angeles CA, 90034","(34.02913, -118.3864)"
650,10/09/2018,09/30/2020,Comp Shingle,"1941 W FLORENCE AVE Los Angeles CA, 90047","(33.97474, -118.31253)"
651,10/12/2018,06/30/2020,Built Up,"6123 N VINELAND AVE Los Angeles CA, 91606","(34.18188, -118.37056)"
652,10/16/2018,02/28/2019,Built Up,"12410 W BURBANK BLVD Los Angeles CA, 91607","(34.17197, -118.4034)"
653,10/24/2018,10/31/2019,Built Up,"14958 W VENTURA BLVD Los Angeles CA, 91403","(34.1525, -118.45927)"
654,10/25/2018,02/28/2020,Class A or B,"13253 W LOUVRE ST Los Angeles CA, 91331","(34.27323, -118.42165)"
655,10/26/2018,08/31/2017,Built Up,"11840 W FOOTHILL BLVD Los Angeles CA, 91342","(34.27348, -118.39428)"
656,10/29/2018,05/31/2017,Built Up,"1605 S HOOVER ST Los Angeles CA, 90006","(34.04362, -118.28433)"
657,10/30/2018,12/31/2017,Built Up,"9420 N RESEDA BLVD Los Angeles CA, 91324","(34.24152, -118.53589)"
658,10/30/2018,04/30/2018,Built Up,"9525 N VASSAR AVE Los Angeles CA, 91311","(34.24334, -118.60487)"
659,10/30/2018,12/31/2017,Built Up,"9135 N RESEDA BLVD Los Angeles CA, 91324","(34.23639, -118.53634)"
660,10/31/2018,04/30/2020,Comp Shingle,"14655 W SHERMAN WAY Los Angeles CA, 91405","(34.2014, -118.45303)"
661,11/01/2018,09/30/2019,Built Up,"5426 N SATSUMA AVE Los Angeles CA, 91601","(34.16934, -118.36741)"
662,11/07/2018,12/31/2018,Built Up,"17826 W CHATSWORTH ST Los Angeles CA, 91344","(34.26467, -118.52254)"
663,11/13/2018,11/30/2018,Built Up,"5137 E YORK BLVD Los Angeles CA, 90042","(34.12095, -118.20344)"
664,11/16/2018,05/31/2019,Comp Shingle,"7115 N SHOUP AVE Los Angeles CA, 91307","(34.19951, -118.61487)"
665,11/19/2018,06/30/2019,Built Up,"5930 N MONTEREY ROAD Los Angeles CA, 90042","(34.10527, -118.18406)"
666,11/26/2018,10/31/2019,Built Up,"7019 N VALJEAN AVE Los Angeles CA, 91406","(34.19809, -118.48598)"
667,11/26/2018,04/30/2019,Built Up,"1327 W ANAHEIM ST Los Angeles CA, 90744","(33.77924, -118.27919)"
668,11/29/2018,06/30/2020,Class A or B,"3513 E WHITTIER BLVD Los Angeles CA, 90023","(34.02656, -118.19786)"
669,12/05/2018,12/31/2018,Built Up,"5439 N CAHUENGA BLVD Los Angeles CA, 91601","(34.16979, -118.36171)"
670,12/13/2018,12/31/2017,Comp Shingle,"10201 W PICO BLVD Los Angeles CA, 90064","(34.04994, -118.41129)"
671,12/18/2018,10/31/2019,Built Up,"1016 W MANCHESTER AVE Los Angeles CA, 90044","(33.95985, -118.29251)"
672,12/18/2018,02/28/2019,Class A or B,"20340 S HARVARD BLVD Los Angeles CA, 90501","(33.84615, -118.3065)"
673,12/19/2018,07/31/2017,Built Up,"2017 E 7TH ST Los Angeles CA, 90021","(34.03473, -118.23165)"
674,12/21/2018,10/31/2019,Class A or B,"5335 S MCCONNELL AVE Los Angeles CA, 90066","(33.97903, -118.42085)"
675,12/21/2018,10/31/2019,Class A or B,"12811 W CORAL TREE PL Los Angeles CA, 90066","(33.97866, -118.421)"
676,12/27/2018,02/28/2018,Built Up,"2016 W RIVERSIDE DR Los Angeles CA, 90039","(34.09908, -118.24973)"
677,12/27/2018,11/30/2018,Built Up,"21730 W SHERMAN WAY Los Angeles CA, 91303","(34.20086, -118.60267)"
678,01/04/2019,02/28/2019,Built Up,"5930 W PICO BLVD Los Angeles CA, 90035","(34.05176, -118.36888)"
679,01/04/2019,12/31/2017,Built Up,"1900 E 7TH PL Los Angeles CA, 90021","(34.03344, -118.23381)"
680,01/07/2019,08/31/2020,Comp Shingle,"12743 W VENTURA BLVD Los Angeles CA, 91604","(34.1449, -118.41089)"
681,01/08/2019,05/31/2020,Comp Shingle,"10588 W PICO BLVD Los Angeles CA, 90064","(34.04343, -118.4217)"
682,01/08/2019,01/31/2020,Built Up,"3021 W ROWENA AVE Los Angeles CA, 90039","(34.10899, -118.27015)"
683,01/08/2019,07/31/2020,Built Up,"15416 W LASSEN ST Los Angeles CA, 91345","(34.24986, -118.46828)"
684,01/09/2019,11/30/2017,Built Up,"2001 E 7TH ST Los Angeles CA, 90021","(34.03474, -118.23211)"
685,01/11/2019,06/30/2017,Built Up,"7677 W SUNSET BLVD Los Angeles CA, 90046","(34.09821, -118.35673)"
686,01/15/2019,05/31/2019,Class A or B,"22801 W ROSCOE BLVD Los Angeles CA, 91304","(34.22014, -118.62547)"
687,01/15/2019,03/31/2020,Class A or B,"401 S HOPE ST Los Angeles CA, 90071","(34.05207, -118.25414)"
688,01/17/2019,03/31/2018,Built Up,"734 N HIGHLAND AVE Los Angeles CA, 90038","(34.08454, -118.33839)"
689,01/17/2019,03/31/2018,Built Up,"915 S ALVARADO ST Los Angeles CA, 90006","(34.05304, -118.27921)"
690,01/17/2019,05/31/2017,Built Up,"7359 N FULTON AVE Los Angeles CA, 91605","(34.20464, -118.42265)"
691,01/18/2019,08/31/2020,Comp Shingle,"2029 S SAWTELLE BLVD Los Angeles CA, 90025","(34.04015, -118.44316)"
692,01/22/2019,01/31/2020,Built Up,"17930 W VENTURA BLVD Los Angeles CA, 91316","(34.16381, -118.5232)"
693,01/25/2019,05/31/2020,Built Up,"9901 N SEPULVEDA BLVD Los Angeles CA, 91345","(34.25025, -118.46771)"
694,01/29/2019,09/30/2020,Class A or B,"340 S MESA ST Los Angeles CA, 90731","(33.7411, -118.28554)"
695,01/31/2019,02/28/2019,Class A or B,"8733 N SHIRLEY AVE Los Angeles CA, 91324","(34.22947, -118.55804)"
696,01/31/2019,02/28/2019,Class A or B,"11376 W EXPOSITION BLVD Los Angeles CA, 90064","(34.03397, -118.44006)"
697,02/02/2019,06/30/2019,Built Up,"2046 N HILLHURST AVE Los Angeles CA, 90027","(34.10895, -118.28725)"
698,02/07/2019,10/31/2020,Built Up,"12756 W VAN NUYS BLVD Los Angeles CA, 91331","(34.27417, -118.41072)"
699,02/16/2019,06/30/2019,Built Up,"1509 S PONTIUS AVE Los Angeles CA, 90025","(34.04965, -118.4471)"
700,02/28/2019,12/31/2019,Built Up,"6540 W FOOTHILL BLVD Los Angeles CA, 91042",
701,03/07/2019,09/30/2020,Class A or B,"6100 N CANOGA AVE Los Angeles CA, 91367","(34.18143, -118.5972)"
702,03/11/2019,11/30/2019,Built Up,"10824 W BURBANK BLVD Los Angeles CA, 91601","(34.17199, -118.3668)"
703,03/12/2019,06/30/2019,Built Up,"143 N ROBERTSON BLVD Los Angeles CA, 90048","(34.07643, -118.38389)"
704,03/12/2019,03/31/2021,Built Up,"11840 W FOOTHILL BLVD Los Angeles CA, 91342","(34.27348, -118.39428)"
705,03/13/2019,03/31/2020,Comp Shingle,"7257 W MELROSE AVE Los Angeles CA, 90046","(34.08364, -118.34773)"
706,03/13/2019,10/31/2020,Comp Shingle,"3413 N CAHUENGA BLVD Los Angeles CA, 90068","(34.13168, -118.3525)"
707,03/14/2019,07/31/2020,Built Up,"616 N LA BREA AVE Los Angeles CA, 90036","(34.08242, -118.34385)"
708,03/20/2019,07/31/2019,Built Up,"4901 S HOOVER ST Los Angeles CA, 90037","(33.99862, -118.28738)"
709,03/25/2019,10/31/2019,Built Up,"12155 W RIVERSIDE DR Los Angeles CA, 91607","(34.15778, -118.39842)"
710,03/27/2019,07/31/2020,Built Up,"1071 W 251ST ST Los Angeles CA, 90710","(33.79683, -118.2952)"
711,03/28/2019,03/31/2019,Class A or B,"463 S LA BREA AVE Los Angeles CA, 90036","(34.0651, -118.34421)"
712,03/28/2019,03/31/2020,Class A or B,"9215 S CLOVIS AVE Los Angeles CA, 90002","(33.9524, -118.25662)"
713,03/28/2019,03/31/2020,Class A or B,"11852 W VOSE ST Los Angeles CA, 91605","(34.19833, -118.3916)"
714,03/28/2019,08/31/2019,Comp Shingle,"10325 N GLENOAKS BLVD Los Angeles CA, 91331","(34.25782, -118.39588)"
715,03/28/2019,03/31/2019,Class A or B,"457 S LA BREA AVE Los Angeles CA, 90036","(34.06521, -118.34421)"
716,03/28/2019,03/31/2019,Class A or B,"2257 S BARRY AVE Los Angeles CA, 90064","(34.03337, -118.44579)"
717,03/28/2019,07/31/2020,Built Up,"15218 W PARTHENIA ST Los Angeles CA, 91343","(34.2281, -118.46409)"
718,03/29/2019,03/31/2019,Class A or B,"8217 W BEVERLY BLVD Los Angeles CA, 90048","(34.07624, -118.36855)"
719,03/31/2019,05/31/2019,Built Up,"5081 E ALHAMBRA AVE Los Angeles CA, 90032","(34.0712, -118.1755)"
720,04/01/2019,05/31/2020,Built Up,"600 N GRAND AVE Los Angeles CA, 90012","(34.06062, -118.24341)"
721,04/02/2019,12/31/2019,Built Up,"20924 W SHERMAN WAY Los Angeles CA, 91303","(34.20085, -118.58922)"
722,04/02/2019,12/31/2020,Built Up,"12409 W VENTURA CT Los Angeles CA, 91604","(34.14334, -118.40341)"
723,04/03/2019,02/29/2020,Built Up,"12861 W VANOWEN ST Los Angeles CA, 91605","(34.19409, -118.41306)"
724,04/03/2019,09/30/2020,Built Up,"8110 S AIRPORT BLVD Los Angeles CA, 90045","(33.96519, -118.38502)"
725,04/03/2019,05/31/2020,Built Up,"600 N GRAND AVE Los Angeles CA, 90012","(34.06062, -118.24341)"
726,04/04/2019,08/31/2020,Comp Shingle,"7101 S MENLO AVE Los Angeles CA, 90044","(33.97534, -118.28937)"
727,04/10/2019,12/31/2019,Built Up,"14657 W LULL ST Los Angeles CA, 91405","(34.20947, -118.45307)"
728,04/10/2019,09/30/2019,Comp Shingle,"9924 N COMMERCE AVE Los Angeles CA, 91042","(34.24932, -118.28845)"
729,04/10/2019,09/30/2019,Comp Shingle,"3151 W LOS FELIZ BLVD Los Angeles CA, 90039","(34.12414, -118.2678)"
730,04/10/2019,02/28/2020,Class A or B,"7333 N RADFORD AVE Los Angeles CA, 91605","(34.20422, -118.39228)"
731,04/12/2019,04/30/2020,Built Up,"4309 S LEIMERT BLVD Los Angeles CA, 90008","(34.00526, -118.33016)"
732,04/12/2019,12/31/2019,Built Up,"14655 W LULL ST Los Angeles CA, 91405","(34.20946, -118.45274)"
733,04/15/2019,08/31/2020,Built Up,"5431 W 104TH ST Los Angeles CA, 90045","(33.94208, -118.37551)"
734,04/15/2019,05/31/2020,Built Up,"8446 N SAN FERNANDO ROAD Los Angeles CA, 91352","(34.22337, -118.37429)"
735,04/16/2019,09/30/2020,Built Up,"13748 W DESMOND ST Los Angeles CA, 91331","(34.27336, -118.43224)"
736,04/17/2019,10/31/2019,Built Up,"12980 W SHERMAN WAY Los Angeles CA, 91605","(34.20102, -118.4159)"
737,04/18/2019,03/31/2021,Class A or B,"716 N LA BREA AVE Los Angeles CA, 90038","(34.08398, -118.34386)"
738,04/18/2019,03/31/2021,Class A or B,"1529 S ROBERTSON BLVD Los Angeles CA, 90035","(34.0513, -118.3844)"
739,04/23/2019,03/31/2020,Class A or B,"102 E WASHINGTON BLVD Los Angeles CA, 90292","(33.97975, -118.4653)"
740,04/23/2019,09/30/2020,Class A or B,"1325 W STONEWOOD CT Los Angeles CA, 90732","(33.76176, -118.30451)"
741,04/24/2019,09/30/2019,Built Up,"9924 N COMMERCE AVE Los Angeles CA, 91042","(34.24932, -118.28845)"
742,04/24/2019,12/31/2019,Built Up,"11041 N BALBOA BLVD Los Angeles CA, 91344","(34.2712, -118.50242)"
743,04/24/2019,02/28/2021,Built Up,"1420 W 240TH ST Los Angeles CA, 90710","(33.80717, -118.30221)"
744,04/25/2019,12/31/2020,Built Up,"12403 W VENTURA CT Los Angeles CA, 91604","(34.14337, -118.40324)"
745,04/25/2019,10/31/2019,Built Up,"15317 W VANOWEN ST Los Angeles CA, 91406","(34.1941, -118.46692)"
746,05/02/2019,02/29/2020,Class A or B,"725 S CERES AVE Los Angeles CA, 90021","(34.03753, -118.24394)"
747,05/02/2019,02/29/2020,Class A or B,"4900 E VALLEY BLVD Los Angeles CA, 90032","(34.06786, -118.17779)"
748,05/02/2019,02/29/2020,Class A or B,"1915 E VIOLET ST Los Angeles CA, 90021","(34.03272, -118.23342)"
749,05/03/2019,10/31/2019,Class A or B,"7748 W PASEO DEL REY Los Angeles CA, 90293","(33.95596, -118.43399)"
750,05/06/2019,06/30/2019,Built Up,"18752 W VENTURA BLVD Los Angeles CA, 91356","(34.17117, -118.54247)"
751,05/07/2019,10/31/2019,Comp Shingle,"10275 N TUJUNGA CANYON BLVD Los Angeles CA, 91042","(34.25466, -118.29122)"
752,05/10/2019,03/31/2021,Built Up,"10532 W BURBANK BLVD Los Angeles CA, 91601","(34.17201, -118.36066)"
753,05/10/2019,,Class A or B,"516 W 38TH ST Los Angeles CA, 90731","(33.70974, -118.28818)"
754,05/15/2019,03/31/2021,Built Up,"8939 W PICO BLVD Los Angeles CA, 90035","(34.05544, -118.38696)"
755,05/17/2019,06/30/2020,Built Up,"5408 W ADAMS BLVD Los Angeles CA, 90016","(34.03231, -118.36083)"
756,05/22/2019,02/29/2020,Built Up,"4406 W PICO BLVD Los Angeles CA, 90019","(34.04798, -118.33065)"
757,05/28/2019,09/30/2019,Built Up,"8069 W BEVERLY BLVD Los Angeles CA, 90048","(34.07625, -118.3654)"
758,05/31/2019,01/31/2021,Built Up,"19700 W RINALDI ST Los Angeles CA, 91326","(34.27455, -118.56289)"
759,05/31/2019,08/31/2020,Built Up,"12203 W VENTURA BLVD Los Angeles CA, 91604","(34.14344, -118.39859)"
760,06/06/2019,01/31/2021,Built Up,"3827 W SUNSET BLVD Los Angeles CA, 90026","(34.09153, -118.27923)"
761,06/07/2019,06/30/2019,Built Up,"14058 W VICTORY BLVD Los Angeles CA, 91401","(34.18649, -118.43975)"
762,06/11/2019,05/31/2020,Comp Shingle,"12426 W VENTURA BLVD Los Angeles CA, 91604","(34.14263, -118.40393)"
763,06/11/2019,05/31/2020,Comp Shingle,"12426 W VENTURA BLVD Los Angeles CA, 91604","(34.14263, -118.40393)"
764,06/12/2019,08/31/2020,Built Up,"403 W ADAMS BLVD Los Angeles CA, 90007","(34.02736, -118.27382)"
765,06/13/2019,04/30/2021,Comp Shingle,"10500 S AVALON BLVD Los Angeles CA, 90003","(33.94087, -118.265)"
766,06/17/2019,04/30/2020,Built Up,"7133 N VINELAND AVE Los Angeles CA, 91605","(34.20036, -118.37051)"
767,06/18/2019,06/30/2021,Built Up,"5650 W WASHINGTON BLVD Los Angeles CA, 90016","(34.03552, -118.36691)"
768,06/18/2019,04/30/2020,Built Up,"2600 N NORTH MAIN ST Los Angeles CA, 90031","(34.06584, -118.21494)"
769,06/19/2019,06/30/2021,Built Up,"21111 W PLUMMER ST Los Angeles CA, 91311","(34.24286, -118.594)"
770,06/21/2019,07/31/2020,Class A or B,"16946 W SHERMAN WAY Los Angeles CA, 91406","(34.20094, -118.50284)"
771,06/21/2019,06/30/2020,Built Up,"10834 W SANTA MONICA BLVD Los Angeles CA, 90025","(34.04976, -118.4357)"
772,06/21/2019,09/30/2020,Class A or B,"7500 N CHAMINADE AVE Los Angeles CA, 91304","(34.20673, -118.63673)"
773,06/24/2019,04/30/2020,Built Up,"17907 S FIGUEROA ST Los Angeles CA, 90248","(33.86812, -118.28187)"
774,06/25/2019,07/31/2020,Built Up,"5036 W PICO BLVD Los Angeles CA, 90019","(34.04768, -118.34744)"
775,06/26/2019,09/30/2019,Built Up,"6727 N ODESSA AVE Los Angeles CA, 91406","(34.19269, -118.49038)"
776,06/26/2019,06/30/2020,Built Up,"2311 S COTNER AVE Los Angeles CA, 90064","(34.03751, -118.43796)"
777,07/01/2019,06/30/2021,Built Up,"5633 W ADAMS BLVD Los Angeles CA, 90016","(34.03261, -118.36596)"
778,07/01/2019,09/30/2020,Built Up,"788 W 9TH ST Los Angeles CA, 90731","(33.73618, -118.29418)"
779,07/05/2019,10/31/2019,Class A or B,"1235 S CORNING ST Los Angeles CA, 90035","(34.05423, -118.37754)"
780,07/05/2019,04/30/2021,Comp Shingle,"9545 N RESEDA BLVD Los Angeles CA, 91324","(34.2439, -118.53634)"
781,07/05/2019,06/30/2020,Built Up,"844 W COLORADO BLVD Los Angeles CA, 90041","(34.13987, -118.18431)"
782,07/09/2019,04/30/2021,Built Up,"6800 N DE SOTO AVE Los Angeles CA, 91303","(34.19395, -118.58813)"
783,07/09/2019,01/31/2020,Built Up,"10962 W LE CONTE AVE Los Angeles CA, 90024","(34.06346, -118.44754)"
784,07/10/2019,08/31/2020,Built Up,"969 N NORTH BROADWAY Los Angeles CA, 90012","(34.06595, -118.23658)"
785,07/11/2019,05/31/2020,Comp Shingle,"2925 W VERNON AVE Los Angeles CA, 90008","(34.00381, -118.32548)"
786,07/12/2019,07/31/2021,Built Up,"2116 S LA BREA AVE Los Angeles CA, 90016","(34.0379, -118.34846)"
787,07/13/2019,03/31/2020,Built Up,"7229 N WINNETKA AVE Los Angeles CA, 91306","(34.2022, -118.5712)"
788,07/17/2019,03/31/2021,Class A or B,"18640 W ROSCOE BLVD Los Angeles CA, 91325",
789,07/17/2019,03/31/2020,Class A or B,"21738 W MARILLA ST Los Angeles CA, 91311","(34.24747, -118.60326)"
790,07/18/2019,11/30/2019,Built Up,"11331 W CAMARILLO ST Los Angeles CA, 91602","(34.15777, -118.37828)"
791,07/18/2019,07/31/2020,Reroof with Class A of B material weighing less than 6 pounds per sq.f,"2033 S CRESCENT AVE Los Angeles CA, 90731","(33.72544, -118.28512)"
792,07/22/2019,10/31/2020,Built Up,"9722 N TOPANGA CANYON BLVD Los Angeles CA, 91311","(34.24676, -118.60676)"
793,07/24/2019,12/31/2020,Built Up,"9201 N GAZETTE AVE Los Angeles CA, 91311","(34.23814, -118.5873)"
794,07/25/2019,01/31/2021,Built Up,"990 N HILL ST Los Angeles CA, 90012","(34.06691, -118.23727)"
795,07/26/2019,10/31/2019,Built Up,"23838 W KITTRIDGE ST Los Angeles CA, 91307","(34.19077, -118.64617)"
796,07/28/2019,04/30/2020,Built Up,"7631 N ALABAMA AVE Los Angeles CA, 91304","(34.20928, -118.5996)"
797,07/29/2019,03/31/2021,Class A or B,"7415 W BEVERLY BLVD Los Angeles CA, 90036","(34.0763, -118.35176)"
798,07/30/2019,04/30/2020,Comp Shingle,"4445 N NOBLE AVE Los Angeles CA, 91403","(34.15214, -118.46198)"
799,07/30/2019,12/31/2019,Built Up,"501 N FAIRFAX AVE Los Angeles CA, 90036","(34.08026, -118.36163)"
800,07/30/2019,12/31/2019,Built Up,"1404 S LA CIENEGA BLVD Los Angeles CA, 90035","(34.05305, -118.37595)"
