,Issue Date,License Expiration Date,Reroof Type,Address,Latitude/Longitude
410,02/27/2017,04/30/2017,Built Up,"550 S MISSION ROAD Los Angeles CA, 90033","(34.0393, -118.2263)"
411,02/27/2017,01/31/2018,Built Up,"8052 N VINELAND AVE Los Angeles CA, 91352","(34.21717, -118.37014)"
412,02/28/2017,11/30/2017,Built Up,"8417 W MELROSE PL Los Angeles CA, 90069","(34.08377, -118.37373)"
413,02/28/2017,01/31/2018,"TEAR OFF, REROOF 21 SQUARES CLASS A OVER (E) SOLID SHEATHING. COOL ROO","133 W AVENUE 45 Los Angeles CA, 90065","(34.09657, -118.20819)"
414,03/01/2017,04/30/2017,Built Up,"9007 N LANKERSHIM BLVD Los Angeles CA, 91352","(34.23322, -118.38803)"
415,03/01/2017,10/31/2017,Comp Shingle,"11634 W MOORPARK ST Los Angeles CA, 91602","(34.15023, -118.38687)"
416,03/01/2017,06/30/2017,Built Up,"1321 S MAPLE AVE Los Angeles CA, 90015","(34.03407, -118.25784)"
417,03/02/2017,12/31/2017,Built Up,"1873 S WESTWOOD BLVD Los Angeles CA, 90025","(34.04841, -118.43585)"
418,03/03/2017,08/31/2017,Class A or B,"11940 W LINDBLADE ST Los Angeles CA, 90230","(33.99441, -118.41541)"
419,03/06/2017,10/31/2017,Built Up,"7360 W BEVERLY BLVD Los Angeles CA, 90036","(34.07597, -118.35026)"
420,03/09/2017,12/31/2017,Built Up,"7560 W MELROSE AVE Los Angeles CA, 90046","(34.08353, -118.35473)"
421,03/10/2017,03/31/2018,Class A or B,"1837 S FLOWER ST Los Angeles CA, 90015","(34.03443, -118.27063)"
422,03/10/2017,08/31/2018,Built Up,"1540 S CALZONA ST Los Angeles CA, 90023","(34.01455, -118.19633)"
423,03/10/2017,04/30/2017,Built Up,"9007 N LANKERSHIM BLVD Los Angeles CA, 91352","(34.23322, -118.38803)"
424,03/14/2017,10/31/2018,Built Up,"6731 N VARIEL AVE Los Angeles CA, 91303","(34.19295, -118.59307)"
425,03/15/2017,12/31/2018,Built Up,"16760 W SCHOENBORN ST Los Angeles CA, 91343","(34.2231, -118.49828)"
426,03/15/2017,02/28/2018,Built Up,"12765 W VAN NUYS BLVD Los Angeles CA, 91331","(34.27525, -118.41242)"
427,03/19/2017,03/31/2018,Built Up,"1050 N CAHUENGA BLVD Los Angeles CA, 90038","(34.09008, -118.32869)"
428,03/20/2017,10/31/2017,Comp Shingle,"9705 S HOLMES AVE Los Angeles CA, 90002","(33.94792, -118.24092)"
429,03/22/2017,02/28/2018,Built Up,"1117 N MCCADDEN PL Los Angeles CA, 90038","(34.09124, -118.33756)"
430,03/25/2017,04/30/2017,Built Up,"1954 N HILLHURST AVE Los Angeles CA, 90027","(34.10698, -118.28724)"
431,03/27/2017,06/30/2018,Built Up,"5801 S VERMONT AVE Los Angeles CA, 90044","(33.98936, -118.29167)"
432,03/28/2017,02/28/2018,Built Up,"13405 W VAN NUYS BLVD Los Angeles CA, 91331",
433,03/28/2017,06/30/2018,Built Up,"4196 S MARLTON AVE Los Angeles CA, 90008","(34.00862, -118.34247)"
434,03/29/2017,05/31/2018,Partial,"4550 N VAN NUYS BLVD Los Angeles CA, 91403","(34.15445, -118.4485)"
435,03/30/2017,01/31/2018,Class A or B,"555 W 9TH ST Los Angeles CA, 90731","(33.73582, -118.28911)"
436,04/03/2017,06/30/2017,Built Up,"16659 W ARMINTA ST Los Angeles CA, 91406","(34.215, -118.49667)"
437,04/10/2017,03/31/2017,Built Up,"9333 N OSO AVE Los Angeles CA, 91311","(34.24018, -118.57555)"
438,04/10/2017,08/31/2018,Built Up,"726 N COLE AVE Los Angeles CA, 90038","(34.08428, -118.32968)"
439,04/13/2017,09/30/2018,Built Up,"2541 S BARRINGTON AVE Los Angeles CA, 90064","(34.02786, -118.44298)"
440,04/18/2017,05/31/2018,Built Up,"3857 S WESTERN AVE Los Angeles CA, 90062","(34.01571, -118.30906)"
441,04/21/2017,11/30/2017,Class A or B,"444 S FLOWER ST Los Angeles CA, 90071","(34.05189, -118.25546)"
442,04/24/2017,01/31/2018,Built Up,"5119 W HOLLYWOOD BLVD Los Angeles CA, 90027","(34.10189, -118.30133)"
443,04/26/2017,06/30/2017,Built Up,"16540 W ARMINTA ST Los Angeles CA, 91406","(34.21472, -118.4936)"
444,04/26/2017,12/31/2017,"Reroof (e) warehouse building. No plans, express permit.","12411 W OLYMPIC BLVD Los Angeles CA, 90064","(34.03168, -118.45857)"
445,04/27/2017,06/30/2018,Built Up,"10542 W BURBANK BLVD Los Angeles CA, 91601","(34.17202, -118.36086)"
446,05/01/2017,07/31/2017,Built Up,"8162 W MELROSE AVE Los Angeles CA, 90046","(34.08358, -118.36736)"
447,05/04/2017,06/30/2017,Built Up,"1804 S LINCOLN BLVD Los Angeles CA, 90291","(33.99641, -118.4572)"
448,05/05/2017,10/31/2017,Built Up,"1 S LMU DR Los Angeles CA, 90045","(33.96577, -118.42406)"
449,05/10/2017,05/31/2017,Built Up,"959 N COLE AVE Los Angeles CA, 90038","(34.08875, -118.33005)"
450,05/15/2017,10/31/2017,Built Up,"4813 W WASHINGTON BLVD Los Angeles CA, 90016","(34.03999, -118.34411)"
451,05/15/2017,06/30/2017,Built Up,"16604 W ARMINTA ST Los Angeles CA, 91406","(34.21474, -118.49474)"
452,05/15/2017,01/31/2019,Built Up,"14344 W SHERMAN WAY Los Angeles CA, 91405","(34.20103, -118.44591)"
453,05/15/2017,01/31/2019,Comp Shingle,"14344 W SHERMAN WAY Los Angeles CA, 91405","(34.20103, -118.44591)"
454,05/23/2017,01/31/2019,Built Up,"11101 S MAIN ST Los Angeles CA, 90061","(33.93465, -118.27404)"
455,05/24/2017,04/30/2018,Built Up,"18706 W HATTERAS ST Los Angeles CA, 91356","(34.17702, -118.54111)"
456,05/25/2017,05/31/2018,Built Up,"8350 N VAN NUYS BLVD Los Angeles CA, 91402","(34.22311, -118.44855)"
457,05/25/2017,07/31/2017,Built Up,"2007 W GAGE AVE Los Angeles CA, 90047","(33.98196, -118.31394)"
458,05/25/2017,12/31/2017,Built Up,"21857 W VENTURA BLVD Los Angeles CA, 91364","(34.1686, -118.60359)"
459,05/30/2017,04/30/2018,Built Up,"10532 W BURBANK BLVD Los Angeles CA, 91601","(34.17201, -118.36066)"
460,05/31/2017,04/30/2018,Comp Shingle,"10158 N JOHANNA AVE Los Angeles CA, 91040","(34.255, -118.34451)"
461,06/01/2017,01/31/2018,Class A or B,"1919 S PACIFIC AVE Los Angeles CA, 90731",
462,06/02/2017,05/31/2018,Built Up,"3875 S CRENSHAW BLVD Los Angeles CA, 90008","(34.01513, -118.33546)"
463,06/02/2017,06/30/2017,Built Up,"2738 N HYPERION AVE Los Angeles CA, 90027","(34.10767, -118.27179)"
464,06/05/2017,05/31/2017,Built Up,"9604 N VARIEL AVE Los Angeles CA, 91311","(34.24532, -118.59268)"
465,06/06/2017,10/31/2017,Built Up,"12800 W RIVERSIDE DR Los Angeles CA, 91607","(34.15745, -118.41161)"
466,06/06/2017,06/30/2017,Built Up,"5248 W ADAMS BLVD Los Angeles CA, 90016","(34.03229, -118.3573)"
467,06/08/2017,07/31/2017,Built Up,"10320 N RESEDA BLVD Los Angeles CA, 91326","(34.2579, -118.53585)"
468,06/09/2017,10/31/2017,Class A or B,"10122 S COMPTON AVE Los Angeles CA, 90002","(33.94462, -118.24605)"
469,06/14/2017,06/30/2017,Built Up,"16615 W ARMINTA ST Los Angeles CA, 91406","(34.21497, -118.49515)"
470,06/14/2017,06/30/2017,Built Up,"16625 W ARMINTA ST Los Angeles CA, 91406","(34.21497, -118.49561)"
471,06/15/2017,03/31/2017,Built Up,"9315 N OSO AVE Los Angeles CA, 91311","(34.23964, -118.57556)"
472,06/19/2017,04/30/2017,Comp Shingle,"10761 W PICO BLVD Los Angeles CA, 90064","(34.04108, -118.42686)"
473,06/26/2017,01/31/2018,REROOF (E) CHURCH /SUNDAY SCHOOL PER ENGINEER DETAILS,"9244 N ZELZAH AVE Los Angeles CA, 91325","(34.23865, -118.52301)"
474,06/28/2017,05/31/2019,REROOF USING EXISTING SHEATHING  #18SQS / # 1 STORY AT NORTH OFFICE BU,"3911 S FIGUEROA ST Los Angeles CA, 90037","(34.01366, -118.28294)"
475,06/28/2017,05/31/2019,REROOF USING EXISTING SHEATHING  # 12 SQS/ # 1STORY AT POLICE  STATION,"3911 S FIGUEROA ST Los Angeles CA, 90037","(34.01366, -118.28294)"
476,07/03/2017,04/30/2018,Comp Shingle,"7500 N DE SOTO AVE Los Angeles CA, 91303","(34.20666, -118.58826)"
477,07/03/2017,08/31/2018,Built Up,"214 S LINCOLN BLVD Los Angeles CA, 90291","(34.00166, -118.46812)"
478,07/05/2017,07/31/2017,Built Up,"20211 W PRAIRIE ST Los Angeles CA, 91311","(34.23931, -118.57318)"
479,07/05/2017,10/31/2018,Comp Shingle,"5750 S MESMER AVE Los Angeles CA, 90230","(33.98373, -118.39868)"
